Type	RAM Speed↑	Supported Speed	Size	Module	Chip	SS/DS	DIMM Socket Support	OC
DDR4	HyperX	2400	2400	16GB	HX424C12PB3K2/32	Hynix M-die	DS	2	
DDR4	Patriot	2400	2400	16GB	PSD416G24002		DS	2/4	
DDR4	ADATA	2666	2666	8GB	AX4U266638G16-SBG		SS	2/4	
DDR4	ADATA	2666	2666	8GB	AX4U266638G16-DRS		SS	2/4	
DDR4	ADATA	2666	2666	8GB	AX4U266638G16-DBG		SS	2/4	
DDR4	Crucial	2666	2666	8GB	BLT8G4D26AFTA.16FAD		SS	2	
DDR4	HyperX	2666	2666	8GB	HX426C13PB3K2/16	Hynix M-die	SS	2	
DDR4	HyperX	2666	2666	8GB	HX426C13PB3/8	Hynix M-die	SS	2	
DDR4	HyperX	2666	2666	8GB	HX426C13SB2K4/32		DS	2/4	
DDR4	HyperX	2666	2666	8GB	HX426C15FB/8		DS	2	
DDR4	Team	2666	2666	8GB	TED416G2666C19DC01		SS	2	
DDR4	Team	2666	2666	8GB	TFWD48G2666C15BBK		SS	2/4	
DDR4	Tigo	2666	2666	8GB	TMKU8G868-2666V		SS	2/4	
DDR4	ADATA	2666	2666	16GB	AX4U2666W4G16-SRZ		SS	2	
DDR4	CENTURY MICRO	2666	2666	16GB	CD16G-D4U2666		DS	2/4	
DDR4	HyperX	2666	2666	16GB	HX426C13PB3K4/64	Hynix M-die	DS	2/4	
DDR4	HyperX	2666	2666	16GB	HX426C13PB3K2/32	Hynix M-die	DS	2	
DDR4	HyperX	2666	2666	16GB	HX426C13PB3/16	Hynix M-die	DS	2	
DDR4	Corsair	2800	2800	8GB	CMD32GX4M4A2800C16		DS	2	
DDR4	ADATA	2800	2800	16GB	AX4U2800316G16-SRZ		DS	2	
DDR4	ADATA	2800	2800	16GB	AX4U2800316G16-SBF		DS	2	
DDR4	Corsair	2933	2933	8GB	CMK16GX4M2Z2933C16		SS	2	
DDR4	Corsair	2933	2933	8GB	CMK32GX4M4Z2933C16		SS	2/4	
DDR4	G.Skill	2933	2933	8GB	F4-3200C16D-16GTZB		SS	2	v
DDR4	G.Skill	2933	2933	8GB	F4-3466C16D-16GTZSK		SS	2	v
DDR4	G.Skill	2933	2933	8GB	F4-4266C19D-16GTZR		SS	2	v
DDR4	HyperX	2933	2933	8GB	HX429C15PB3AK4/32		SS	2	v
DDR4	Patriot	2933	2933	8GB	PV416G300C6K (11BF2)		SS	2	v
DDR4	G.Skill	2933	2933	16GB	F4-3200C15D-32GTZR		DS	2	v
DDR4	G.Skill	2933	2933	16GB	F4-3866C18D-32GTZR		DS	2	v
DDR4	G.Skill	2933	2933	16GB	F4-3200C14D-32GTZR		DS	2	v
DDR4	G.Skill	2933	2933	16GB	F4-3333C16D-32GTZSK		DS	2	v
DDR4	Corsair	3000	3000	8GB	CMD32GX4M4B3000C15 (Hynix-M)		SS	2	v
DDR4	HyperX	3000	3000	8GB	HX430C15PB3/8	Hynix M-die	SS	2	v
DDR4	HyperX	3000	3000	8GB	HX430C15PB3K2/16	Hynix M-die	SS	2	v
DDR4	Patriot	3000	3000	8GB	PV432G300C6QK (11BF2)		SS	2	v
DDR4	Patriot	3000	3000	8GB	PVE416G300C6KBL (11BF2)		SS	2	v
DDR4	HyperX	3000	2800	16GB	HX430C15PB3K2/32		DS	2/4	
DDR4	G.Skill	3066	3066	8GB	F4-4000C18D-16GTZR		SS	2	v
DDR4	G.Skill	3066	3066	8GB	F4-4133C19D-16GTZKWC		SS	2	v
DDR4	Corsair	3200	3200	8GB	CMD16GX4M2B3200C16 ( Hynix C )	Hynix C	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2B3200C16	Hynix C	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMD32GX4M4B3200C16 (Hynix C)	Hynix C	SS	2/4	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2B3200C16 ( Hynix B )	Hynix B	SS	2	v
DDR4	Corsair	3200	3200	8GB	CMR16GX4M2D3200C16		SS	2	v
DDR4	Corsair	3200	3200	8GB	CMW16GX4M2C3200C16		SS	2	v
DDR4	Crucial	3200	3200	8GB	BLS8G4D32AESBK.8FE		SS	2/4	v
DDR4	HyperX	3200	3200	8GB	HX432C16PB3K2/16	Hynix M-die	SS	2	v
DDR4	Patriot	3200	3200	8GB	PVE416G320C6KGY (11BF2)		SS	2	v
DDR4	Patriot	3200	3200	8GB	PVR416G320C6K		SS	2	v
DDR4	Patriot	3200	2933	8GB	PV416G320C6K (11BF2)		SS	2	v
DDR4	Team	3200	3200	8GB	TFBD48G3200C16CBK		SS	2/4	v
DDR4	ADATA	3200	3200	16GB	AX4U3200316G16-SGZ		DS	2	v
DDR4	Corsair	3200	3200	16GB	CMD64GX4M4B3200C16 ( Hynix C )	Hynix C	DS	2/4	v
DDR4	Corsair	3200	3200	16GB	CMD32GX4M2B3200C16 ( Hynix C )	Hynix C	DS	2	v
DDR4	Corsair	3200	3200	16GB	CMR32GX4M2D3200C16		DS	2	v
