Ultra M.2_SSD (NGFF) Module Support List
Note1: The speed of PCIE Gen3x4 and Gen3x2 M.2 SSDs can only reach to Gen2x4 when plugging in M.2 slot.
SATA SSD Support List
Vender	Size↑	Interface	Part No.
HGST	1TB	SATA3	HTS721010A9E630
Team	1TB	SATA3	T253PG001T3C313
Team	1TB	SATA3	T253TR001T3C413
Team	1TB	SATA3	T253TV001T3C301
Team	1TB	SATA3	T253TR001T3C412
Team	1TB	SATA3	T253TR001T3C312
Team	1TB	SATA3	T253TR001T3C313
TOSHIBA	1TB	SATA3	MQ02ABD100H-MLC
WD	1TB	SATA3	WDS100T1B0A-00H9H0
WD	1TB	SATA3	WDS100T2B0A-00SM50
WD	1TB	SATA3	WD10JFCX
WD	1TB	SATA3	WD10JPVX-22JC3T0
WD	2TB	SATA3	WDS200T2B0A-00SM50
Intel	60GB	SATA3	SSDSC2CT060A3
Team	60GB	SATA3	T253L3060GMC101
Team	60GB	SATA3	T253L3060GMC103
APACER	64GB	SATA3	AS510S
EZLINK	64GB	SATA3	SIGMA-0810ECSMCG
ADATA	120GB	SATA3	ASP550SS3-120GM-C
Anacomda	120GB	SATA3	T1120MA3T
Anacomda	120GB	SATA3	TS120SM3T
J&A	120GB	SATA3	JS500SSD120GB
Kingston	120GB	SATA3	SKC300S37A/120G
Kingston	120GB	SATA3	SV3000S37A/120G
Kingston	120GB	SATA3	SHFS37A/120G
Kingston	120GB	SATA3	SH103S3/120G
Kingston	120GB	SATA3	SV300S37A
Kingston	120GB	SATA3	SUV400S37/120G
Kingston	120GB	SATA3	SVP200S37A/120G
Kingston	120GB	SATA3	SH100S3/120G
OCZ	120GB	SATA3	VTX3-25SAT3-120G
OCZ	120GB	SATA3	AGT3-25SAT3-120G
OCZ	120GB	SATA3	ASX930S3-120GM-C
OCZ	120GB	SATA3	TRN100-25SAT3-120G
OCZ	120GB	SATA3	VTR180-25SAT3-120G
Team	120GB	SATA3	T253L3120GMC101
Team	120GB	SATA3	T253TD120G3C101
Team	120GB	SATA3	T253LE120GTC103
Team	120GB	SATA3	T253L7120GTC101
Team	120GB	SATA3	T253L3120GMC103
TOSHIBA	120GB	SATA3	HDTS712AZSTA
ADATA	128GB	SATA3	ASU800SS-128GT-C
ADATA	128GB	SATA3	ASP900S3-128GM-C
EZLINK	128GB	SATA3	PANZER IV-H-0810EKSMDG
SANDISK	128GB	SATA3	X300-SD7SB6S-128G
TOSHIBA	128GB	SATA3	HDTS412AZSTA
TRANSCEND	128GB	SATA3	TS128GSSD340K
TRANSCEND	128GB	SATA3	TS128GSSD370S
ADATA	240GB	SATA3	ASX950SS-240GM-C
Anacomda	240GB	SATA3	N2240SM3M
Anacomda	240GB	SATA3	T1240MA3T
Anacomda	240GB	SATA3	TS240SM3T
Crucial	240GB	SATA3	CT240BX200SSD1
HyperX Fury	240GB	SATA3	SHFR200/240G
Intel	240GB	SATA3	SSDSC2BP240G4R5
J&A	240GB	SATA3	JS500SSD240GB
Kingston	240GB	SATA3	SH103S3/240G
Kingston	240GB	SATA3	SV3000S37A/240G
Kingston	240GB	SATA3	SUV400S37/240G
Kingston	240GB	SATA3	SHSS37A/240G
OCZ	240GB	SATA3	ARC100-25SATA3-240G
OCZ	240GB	SATA3	TRN100-25SAT3-240G
OCZ	240GB	SATA3	RADEON-R7SSD-240G
OCZ	240GB	SATA3	VTX460A-25SATA3-240G
OCZ	240GB	SATA3	TRN150-25SAT3-240G
SANDISK	240GB	SATA3	EXTREME PRO-SDSSDXPS-240G
Team	240GB	SATA3	T253LE240GTC103
Team	240GB	SATA3	T253L3240GMC103
Team	240GB	SATA3	T253L3240GMC101
Team	240GB	SATA3	T253LE240GTC101
Team	240GB	SATA3	T253L7240GTC101
Team	240GB	SATA3	T2535T240G0C101
Team	240GB	SATA3	T253TD240G3C101
TOSHIBA	240GB	SATA3	TL100-25SATA3-240G
V-color	240GB	SATA3	VSS100
WD	240GB	SATA3	WDS240G1G0A-00SS50
WYVO	240GB	SATA3	SSB240GTLC4-SA-AF
Crucial	250GB	SATA3	CT250MX200SSD1
Team	250GB	SATA3	T253TR250G3C412
Team	250GB	SATA3	T253PG250G3C313
Team	250GB	SATA3	T253TR250G3C312
Team	250GB	SATA3	T253TV250G3C301
Team	250GB	SATA3	T253TR250G3C413
Team	250GB	SATA3	T253TR250G3C313
ADATA	256GB	SATA3	ASU900SS-256GM-C
ADATA	256GB	SATA3	ASU800SS-256GT-C
EZLINK	256GB	SATA3	T-34-0810ETSMEG
Plextor	256GB	SATA3	PX-256M5Pro
Plextor	256GB	SATA3	PX-256M6S
Plextor	256GB	SATA3	PX-256M6PRO
Plextor	256GB	SATA3	PX-256M6V
ADATA	480GB	SATA3	ASX950SS-480GM-C
Anacomda	480GB	SATA3	N2480SM3M
HyperX Fury	480GB	SATA3	SHFR200/480G
J&A	480GB	SATA3	JS500SSD480GB
OCZ	480GB	SATA3	VTR180-25SATA3-480G
Team	480GB	SATA3	T253L3480GMC103
Team	480GB	SATA3	T253LE480GTC101
Team	480GB	SATA3	T253LE480GTC103
Team	480GB	SATA3	T253L3480GMC101
Team	480GB	SATA3	T2535T480G0C101
Team	480GB	SATA3	T253TD480G3C101
HGST	500GB	SATA3	HTS725050A7E630
SEAGATE	500GB	SATA3	ST500LM021-500G
SEAGATE	500GB	SATA3	ST500LM000-500G
Team	500GB	SATA3	T253TR500G3C412
Team	500GB	SATA3	T253PG500G3C313
Team	500GB	SATA3	T253TR500G3C312
Team	500GB	SATA3	T253TR500G3C413
Team	500GB	SATA3	T253TV500G3C301
Team	500GB	SATA3	T253TR500G3C313
WD	500GB	SATA3	WD5000LPLX
WD	500GB	SATA3	WD5000LPCX
WD	500GB	SATA3	WDS500G2B0A-00SM50
ADATA	512GB	SATA3	ASU800SS-512GT-C
ADATA	512GB	SATA3	ASU900SS-512GM-C
EZLINK	512GB	SATA3	CV-6-0810ECSMFG
WD	750GB	SATA3	WD7500BPKX
HyperX Fury	960GB	SATA3	SHFR200/960G
Team	960GB	SATA3	T253L3960GMC101
Team	960GB	SATA3	T253LE960GTC103
Team	960GB	SATA3	T253L3960GMC103
Team	960GB	SATA3	T253LE960GTC101
